Id	income	age	experience	married	house_ownership	car_ownership	profession	city	state	current_job_years	current_house_years	risk_flag
1	1303835	23	3	single	rented	no	Mechanical_engineer	Rewa	Madhya_Pradesh	3	13	0
2	7574516	40	10	single	rented	no	Software_Developer	Parbhani	Maharashtra	9	13	0
3	3991815	66	4	married	rented	no	Technical_writer	Alappuzha	Kerala	4	10	0
4	6256451	41	2	single	rented	yes	Software_Developer	Bhubaneswar	Odisha	2	12	1
5	5768871	47	11	single	rented	no	Civil_servant	Tiruchirappalli[10]	Tamil_Nadu	3	14	1
6	6915937	64	0	single	rented	no	Civil_servant	Jalgaon	Maharashtra	0	12	0
7	3954973	58	14	married	rented	no	Librarian	Tiruppur	Tamil_Nadu	8	12	0
8	1706172	33	2	single	rented	no	Economist	Jamnagar	Gujarat	2	14	0
9	7566849	24	17	single	rented	yes	Flight_attendant	Kota[6]	Rajasthan	11	11	0
10	8964846	23	12	single	rented	no	Architect	Karimnagar	Telangana	5	13	0
11	4634682	78	7	single	rented	no	Flight_attendant	Hajipur[31]	Bihar	7	12	0
12	6623263	22	4	single	rented	no	Designer	Adoni	Andhra_Pradesh	4	14	0
13	9120988	28	9	single	rented	no	Physician	Erode[17]	Tamil_Nadu	9	12	0
14	8043880	57	12	single	rented	no	Financial_Analyst	Kollam	Kerala	8	10	0
15	9420838	48	6	single	rented	no	Technical_writer	Madurai	Tamil_Nadu	6	10	1
16	5694236	39	2	married	rented	yes	Economist	Anantapuram[24]	Andhra_Pradesh	2	10	0
17	7315839	72	8	married	rented	no	Air_traffic_controller	Kamarhati	West_Bengal	8	14	0
18	3666346	56	12	single	rented	no	Politician	Bhusawal	Maharashtra	12	11	1
19	2241112	28	8	single	rented	no	Police_officer	Sirsa	Haryana	6	14	0
20	5431918	40	1	single	rented	no	Artist	Amaravati	Andhra_Pradesh	1	14	0
21	9225468	54	14	single	rented	no	Surveyor	Secunderabad	Telangana	8	10	0
22	6506739	50	4	single	rented	no	Politician	Ahmedabad	Gujarat	4	11	0
23	9157379	72	13	single	rented	yes	Design_Engineer	Ajmer	Rajasthan	9	10	0
24	9236505	35	19	single	rented	no	Chemical_engineer	Ongole	Andhra_Pradesh	6	14	0
25	1065465	23	15	married	rented	no	Hotel_Manager	Miryalaguda	Telangana	4	12	0
26	1797876	76	20	single	norent_noown	no	Mechanical_engineer	Erode[17]	Tamil_Nadu	11	14	0
27	6063428	38	6	married	rented	no	Dentist	Ambattur	Tamil_Nadu	6	13	0
28	9643150	24	13	single	rented	no	Comedian	Indore	Madhya_Pradesh	6	14	0
29	8832725	64	5	single	rented	no	Biomedical_Engineer	Pondicherry	Puducherry	5	11	1
30	4386333	31	16	single	rented	no	Physician	Shimoga	Karnataka	3	12	0
31	3939397	52	19	single	rented	yes	Flight_attendant	Chennai	Tamil_Nadu	3	10	0
32	6944134	59	5	single	owned	no	Graphic_Designer	Gulbarga	Karnataka	5	11	0
33	4128828	21	10	single	rented	no	Computer_hardware_engineer	Khammam	Telangana	10	12	0
34	5023035	26	10	single	rented	yes	Petroleum_Engineer	Madurai	Tamil_Nadu	9	13	0
35	9086933	55	7	single	rented	no	Air_traffic_controller	Saharanpur	Uttar_Pradesh	7	13	0
36	7537675	45	4	single	rented	no	Graphic_Designer	Gopalpur	West_Bengal	4	14	0
37	9625415	77	15	married	rented	no	Secretary	Amravati	Maharashtra	9	10	0
38	7904011	71	3	single	rented	no	Computer_operator	Udupi	Karnataka	3	11	0
39	3540135	78	4	single	rented	no	Biomedical_Engineer	Howrah	West_Bengal	4	11	0
40	8739032	55	3	married	rented	no	Politician	Aurangabad[39]	Bihar	3	14	0
41	3217258	23	12	single	rented	yes	Petroleum_Engineer	Hospet	Karnataka	8	10	0
42	2735428	72	20	single	rented	no	Surveyor	Shimla	Himachal_Pradesh	6	14	0
43	9760667	63	17	single	rented	no	Chartered_Accountant	Khandwa	Madhya_Pradesh	13	12	1
44	8390825	30	11	single	rented	no	Secretary	Bidhannagar	West_Bengal	7	10	0
45	9639445	45	9	single	rented	no	Technician	Bellary	Karnataka	9	10	1
46	6868118	25	16	single	rented	no	Secretary	Danapur	Bihar	13	13	1
47	2471915	73	18	single	rented	no	Chemical_engineer	Purnia[26]	Bihar	14	13	0
48	8477026	52	10	single	rented	no	Design_Engineer	Bijapur	Karnataka	10	10	0
49	8996641	75	12	single	rented	no	Microbiologist	Patiala	Punjab	12	13	0
50	4043791	48	18	single	rented	yes	Architect	Malda	West_Bengal	13	14	0
51	4260004	27	5	single	norent_noown	no	Police_officer	Sagar	Madhya_Pradesh	5	13	0
52	3634814	74	4	single	rented	no	Fashion_Designer	Durgapur	West_Bengal	4	11	0
53	9518593	71	6	single	rented	no	Artist	Junagadh	Gujarat	6	13	0
54	5990870	74	4	single	rented	no	Aviator	Singrauli	Madhya_Pradesh	4	10	0
55	1213131	67	8	single	rented	no	Psychologist	Agartala	Tripura	8	11	0
56	1885923	46	16	single	rented	no	Magistrate	Thanjavur	Tamil_Nadu	8	14	1
57	5554586	39	18	single	rented	no	Software_Developer	Hindupur	Andhra_Pradesh	13	13	1
58	6555332	56	20	single	owned	no	Magistrate	Naihati	West_Bengal	4	10	0
59	9861298	59	16	single	rented	no	Technical_writer	North_Dumdum	West_Bengal	9	11	1
60	9311486	68	9	single	rented	no	Lawyer	Panchkula	Haryana	9	12	0
61	9440590	68	11	single	rented	no	Dentist	Anantapur	Andhra_Pradesh	10	13	0
62	8773158	58	18	single	rented	yes	Firefighter	Serampore	West_Bengal	5	13	1
63	9724250	67	17	single	rented	yes	Dentist	Bathinda	Punjab	3	13	0
64	1729774	28	6	married	rented	yes	Technical_writer	Nadiad	Gujarat	5	10	0
65	6178223	46	19	single	owned	yes	Architect	Kanpur	Uttar_Pradesh	11	13	0
66	9822116	27	12	single	rented	no	Artist	Haridwar	Uttarakhand	12	13	0
67	4334000	36	4	single	rented	no	Politician	Berhampur	Odisha	4	11	0
68	9576258	79	18	single	rented	yes	Air_traffic_controller	Jamshedpur	Jharkhand	6	11	0
69	8788135	77	7	married	rented	no	Petroleum_Engineer	Ongole	Andhra_Pradesh	7	11	0
70	7002610	56	4	single	rented	no	Police_officer	Hyderabad	Telangana	4	12	0
71	5605985	57	12	single	rented	no	Engineer	Bidar	Karnataka	3	11	0
72	3208322	55	18	single	rented	no	Air_traffic_controller	Kottayam	Kerala	8	12	0
73	2408148	59	10	single	rented	no	Architect	Solapur	Maharashtra	7	11	0
74	9585696	42	13	single	rented	yes	Official	Anantapuram[24]	Andhra_Pradesh	3	12	0
75	2116007	24	5	single	rented	yes	Analyst	Suryapet	Telangana	5	13	1
76	3798306	42	11	single	rented	yes	Geologist	Aizawl	Mizoram	11	14	0
77	2966907	30	6	married	rented	yes	Magistrate	Tiruppur	Tamil_Nadu	5	12	0
78	4994848	58	9	single	rented	no	Software_Developer	Durgapur	West_Bengal	9	13	0
